N=1024 rcvSink=0 allPkt=6226 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
N=1024 rcvSink=0 allPkt=6640 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=11 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=11 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=6 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=4 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=4 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=4 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=1 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=1 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=1 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=2 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=2 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=28 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=2 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=1 AllpktEv=1 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=1 AllpktEv=1 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=3 AllpktEv=1 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=4 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=27 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=4 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=5 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=1 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=4 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=4 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=35 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=4 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=2 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=1 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=25 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=9 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=9 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=9 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=9 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=9 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
Add brunoN=9 rcvSink=0 allPkt=16 AllpktEv=0 intervalAggr=1.0 ev=50 nNodesEv=512 NumberNodes=1024
